,Week,Rank,Fantasy
1067,5,12,5.7
1068,6,4,14.8
1069,7,13,5.2
1070,8,22,13.9
1071,9,15,18.1
1072,10,10,4.4
1073,11,20,2
1074,12,25,6.9
1075,15,8,13.2
1076,16,3,11.4
1077,1,18,22.5
1078,2,23,21.9
1079,3,26,24.1
1080,4,2,7.2
1081,6,10,12.5
1082,7,32,0.1
1083,10,19,8.2
1084,11,28,9.4
1085,12,26,7.1
1086,13,7,9.4
1087,14,16,7.7
1088,15,18,12.3
1089,16,23,23.2
1090,1,24,5.7
1091,2,1,18.2
1092,3,21,29.2
1093,4,29,13.3
1094,8,24,15.5
1095,9,4,9.1
1096,10,28,0.8
1097,13,17,3.2
1098,14,19,14.7
1099,15,1,10.2
1100,16,20,22.7
1101,4,9,7.2
1102,6,25,9.3
1103,7,13,20.4
1104,8,29,33.8
1105,9,14,7.8
1106,10,32,22.6
1107,11,15,24.3
1108,12,14,14
1109,13,11,8.8
1110,15,15,5.4
1111,16,12,6
1112,1,23,1.3
1113,2,29,2.5
1114,3,14,1.8
1115,4,9,6.7
1116,5,2,2.2
1117,6,11,2.5
1118,7,22,10.7
1119,8,31,9.2
1120,9,32,32.2
1121,10,12,12.3
1122,11,10,22.8
1123,13,25,15
1124,14,14,16.6
1125,15,10,8.9
1126,5,1,5
1127,6,21,15.9
1128,7,2,14.3
1129,8,6,6.3
1130,9,1,1.8
1131,10,4,7.7
1132,14,11,10.3
1133,15,20,12.7
1134,16,16,15.4
1135,1,9,32.9
1136,2,15,14.2
1137,3,16,13.4
1138,4,6,24.5
1139,5,7,18.2
1140,6,14,40
1141,7,19,38.5
1142,8,10,12.2
1143,1,12,16.5
1144,2,14,10.1
1145,4,32,14.6
1146,5,22,5.5
1147,6,10,12.9
1148,7,20,13.5
1149,8,3,10.8
1150,9,22,14
1151,10,8,1.9
1152,11,23,8.1
1153,14,12,3.5
1154,15,2,5.4
1155,16,4,2.6
1156,1,31,9.4
1157,2,6,6.6
1158,3,20,10.1
1159,4,21,8.3
1160,5,24,17.7
1161,6,28,10.6
1162,7,3,12.5
1163,12,7,5.1
1164,13,4,8.1
1165,16,8,2.1
1166,1,17,16.1
1167,2,26,11.8
1168,3,18,7.6
1169,4,13,18.2
1170,5,15,15
1171,6,24,6
1172,8,1,2.1
1173,9,28,17.8
1174,11,17,24.7
1175,12,23,37.3
1176,14,28,12.6
1177,1,6,7.3
1178,2,18,21.5
1179,3,26,38
1180,5,31,25.5
1181,6,32,38.2
1182,7,12,6.1
1183,8,26,29.3
1184,9,31,35.4
1185,10,30,24.2
1186,11,14,17.4
1187,12,27,16.9
1188,13,30,18.8
1189,14,29,23.2
1190,15,2,32.5
1191,16,20,11.3
1192,1,10,11.4
1193,2,6,16.7
1194,3,11,19.7
1195,4,29,16.2
1196,5,30,18.7
1197,6,31,33.9
1198,7,32,26.7
1199,8,17,17.3
1200,9,32,20.8
1201,10,22,22.7
1202,11,3,12.4
1203,12,29,18.4
1204,13,6,15.4
1205,14,13,10.5
1206,15,7,5.5
1207,1,26,18.2
1208,3,13,6.5
1209,4,31,20.3
1210,5,12,6.9
1211,6,4,15
1212,8,30,10.3
1213,9,19,28.6
1214,10,27,13.4
1215,11,7,17.8
1216,12,12,12.4
1217,13,27,25.5
1218,14,16,36.9
1219,16,25,32.3
1220,1,1,12.1
1221,2,12,7.7
1222,3,7,10.8
1223,4,4,13
1224,5,16,12.8
1225,6,30,29.3
1226,7,14,2.2
1227,8,27,13.5
1228,9,8,23.3
1229,10,25,4.6
1230,11,13,11
1231,12,31,25.7
1232,13,26,18.1
1233,14,12,11.6
1234,15,14,22.48
1235,16,27,23.7
1236,1,12,13.2
1237,2,4,17.2
1238,3,14,43.04
1239,4,17,28.8
1240,5,3,19
1241,6,25,34.06
1242,7,27,3.3
1243,8,16,13.88
1244,9,23,39.3
1245,10,24,14.9
1246,12,25,11
1247,13,15,7.5
1248,14,2,8.5
1249,15,16,6.5
1250,16,4,15.6
1251,1,11,19.8
1252,2,19,9.3
1253,3,1,8.2
1254,4,32,8.8
1255,5,6,8.3
1256,6,29,14.3
1257,7,3,6.6
1258,8,20,7.2
1259,9,10,17.2
1260,10,2,20.5
1261,11,10,23.9
1262,12,3,22.3
1263,13,11,24
1264,14,21,25.1
1265,15,24,9.6
1266,16,16,1.7
1267,1,23,24.1
1268,2,25,10.1
1269,3,4,-0.7
1270,4,27,1.4
1271,6,15,17.9
1272,7,13,8.3
1273,8,25,27.5
1274,9,24,17.8
1275,10,32,33.7
1276,11,17,21.2
1277,12,4,26.9
1278,13,12,35.1
1279,14,14,30.4
1280,15,13,29.9
1281,16,22,38.2
1282,1,32,13.2
1283,2,8,3.3
1284,3,18,20
1285,5,15,15.1
1286,6,23,22.7
1287,7,25,8.6
1288,8,17,15.7
1289,9,16,4.6
1290,10,13,4.1
1291,11,5,5.3
1292,12,15,9.9
1293,13,17,0.8
1294,14,4,11
1295,15,22,6.6
1296,16,23,13.5
1297,2,21,27.8
1298,3,22,17.4
1299,4,11,14.2
1300,5,19,19.5
1301,6,10,13.4
1302,7,21,7.7
1303,10,5,8.7
1304,11,8,12.2
1305,12,20,9.3
1306,13,3,15.5
