,Week,Opponent,Rank,Fantasy
635,9,ATL,30,11.8
636,10,PHI,7,19.1
637,11,TAM,4,8.9
638,12,BUF,5,2.4
639,15,DAL,2,10.2
640,16,CAR,10,3.7
641,1,ATL,30,6.9
642,2,NYG,29,6
643,3,NYJ,8,19.3
644,4,ARI,32,6.7
645,5,PHI,7,12
646,6,DET,26,12.9
647,7,TAM,4,3.6
648,9,BUF,5,3.3
649,10,NWE,1,5.7
650,11,CAR,10,2.6
651,12,MIA,3,0.7
652,13,PHI,7,8.1
653,15,NYG,29,3.6
654,1,BAL,6,1.4
655,2,KAN,19,0.7
656,3,CIN,28,11.9
657,4,TEN,13,0.6
658,5,CLE,12,6.8
659,6,DEN,9,10.1
660,7,STL,17,2.2
661,8,SEA,15,5
662,9,ARI,32,4.2
663,10,SFO,21,11.4
664,11,CLE,12,10.2
665,12,CIN,28,12.7
666,13,OAK,25,16.5
667,14,NYJ,8,7.5
668,15,SDG,31,19.1
669,16,BAL,6,5.4
670,1,DET,26,2.7
671,2,SEA,15,0.6
672,3,GNB,11,2.5
673,4,STL,17,0.3
674,5,DAL,2,3.1
675,6,BAL,6,10.8
676,7,SFO,21,16.9
677,8,CIN,28,14.5
678,9,PIT,16,10.3
679,10,CLE,12,3.1
680,11,STL,17,9.7
681,12,CHI,22,4.4
682,13,SFO,21,3.4
683,14,CAR,10,6.9
684,15,SEA,15,3.6
685,16,MIN,23,2.6
686,4,CLE,12,6.2
687,5,BUF,5,13.9
688,6,BAL,6,0.5
689,7,SEA,15,17.7
690,8,ARI,32,9.4
691,9,HOU,27,32
692,10,KAN,19,17.7
693,11,SDG,31,7.6
694,12,PIT,16,3.3
695,13,BAL,6,1.4
696,14,SFO,21,30.2
697,15,STL,17,4.7
698,16,CLE,12,19.7
699,1,NYG,29,5.5
700,2,SFO,21,15
701,3,SEA,15,3.7
702,9,BAL,6,17.4
703,10,CHI,22,12.4
704,11,ARI,32,19.3
705,12,MIN,23,32.3
706,13,CLE,12,14.5
707,14,SEA,15,15.8
708,15,CIN,28,27.4
709,16,DET,26,13.5
710,1,CHI,22,6.5
711,2,STL,17,14
712,3,CLE,12,1.7
713,4,MIN,23,7.2
714,5,DET,26,5.7
715,6,SEA,15,4
716,7,TAM,4,7.5
717,8,ARI,32,2.5
718,9,STL,17,10.7
719,10,PIT,16,15.8
720,11,GNB,11,1.8
721,12,BAL,6,6.4
722,13,ARI,32,21.7
723,14,CIN,28,23.1
724,15,PHI,7,30.7
725,16,SEA,15,7.8
726,1,PHI,7,4.1
727,2,CAR,10,8.1
728,3,ATL,30,22.4
729,4,IND,20,14.1
730,6,SFO,21,8.9
731,7,DAL,2,11.7
732,9,CAR,10,9.7
733,10,GNB,11,4
734,11,NYG,29,7.7
735,12,JAX,18,6.6
736,14,HOU,27,3.6
737,15,ATL,30,10.5
738,16,TEN,13,5.4
739,1,BUF,5,1.9
740,2,PHI,7,2.7
741,3,NYJ,8,5.5
742,5,TEN,13,16.3
743,8,CLE,12,0.9
744,9,DEN,9,8.1
745,10,DAL,2,11.3
746,11,HOU,27,1
747,13,MIA,3,6
748,14,JAX,18,8.8
749,15,NYJ,8,12.3
750,16,BUF,5,7.4
751,1,BUF,5,8.7
752,2,PHI,7,8.2
753,3,NYJ,8,9.1
754,6,NYG,29,9.3
755,7,MIA,3,4.9
756,8,CLE,12,15.4
757,9,DEN,9,7.2
758,10,DAL,2,3.3
759,11,HOU,27,18.8
760,12,IND,20,5.8
761,13,MIA,3,1.5
762,14,JAX,18,4.3
763,15,NYJ,8,0.8
764,16,BUF,5,2.6
765,1,CHI,22,21.7
766,2,STL,17,10.4
767,3,CLE,12,2.8
768,4,MIN,23,8.7
769,5,DET,26,8.4
770,6,SEA,15,10.6
771,7,TAM,4,21.5
772,8,ARI,32,6.8
773,9,STL,17,7.2
774,10,PIT,16,7.9
775,11,GNB,11,6.9
776,12,BAL,6,5
777,1,GNB,11,8
778,2,CHI,22,21.8
779,3,DET,26,14.9
780,4,SFO,21,5.9
781,5,ATL,30,20.6
782,6,DEN,9,15.2
783,7,NYG,29,8.8
784,8,GNB,11,8.9
785,9,SDG,31,29.1
786,10,OAK,25,11.9
787,11,DET,26,5
788,12,STL,17,9.7
789,13,SEA,15,5.7
790,14,CHI,22,5.5
791,15,KAN,19,5.2
792,16,ARI,32,8.7
793,2,CIN,28,7.4
794,3,DEN,9,3.1
795,4,SDG,31,2.9
796,5,CHI,22,3.7
797,6,CLE,12,1.5
798,7,KAN,19,5.2
799,8,DET,26,1.5
800,9,NYJ,8,9.4
801,10,MIN,23,17.5
802,11,KAN,19,13.7
803,12,DEN,9,7.2
804,13,PIT,16,12.5
805,14,BAL,6,5.1
806,15,GNB,11,5.6
807,16,SDG,31,3.5
808,1,ARI,32,4.9
809,2,GNB,11,9.1
810,3,MIN,23,12.8
811,4,DEN,9,8
812,5,SFO,21,2.9
813,6,DAL,2,2.9
814,7,CHI,22,8.8
815,8,OAK,25,8.5
816,9,CHI,22,4.1
817,10,SEA,15,6.5
818,11,MIN,23,2.7
819,12,GNB,11,13.5
820,13,SDG,31,5
821,14,KAN,19,17.2
822,15,CAR,10,1.7
823,16,STL,17,2
824,1,NYJ,8,4.6
825,2,ATL,30,8.9
826,3,NYG,29,4.6
827,4,NWE,1,9.5
828,5,PHI,7,3.5
829,6,TAM,4,2.7
